date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Oklahoma City,86,Phoenix,73
2003-11-01,Phoenix,78,Cleveland,74
2003-11-02,Dallas,97,Phoenix,83
2003-11-04,Phoenix,82,Detroit,84
2003-11-06,Phoenix,93,Atlanta,88
2003-11-08,Phoenix,86,Portland,75
2003-11-13,Denver,72,Phoenix,75
2003-11-15,Phoenix,88,Houston,87
2003-11-19,Utah,99,Phoenix,76
2003-11-22,Sacramento,118,Phoenix,101
2003-11-23,Phoenix,79,Denver,80
2003-11-25,Phoenix,86,Milwaukee,81
2003-11-27,Phoenix,82,Brooklyn,75
2003-11-29,Phoenix,94,San Antonio,87
2003-11-30,Golden State,100,Phoenix,90
2003-12-02,Phoenix,90 OT,Miami,100
2003-12-04,Phoenix,98,Memphis,85
2003-12-06,Phoenix,102,Indiana,92
2003-12-08,Memphis,102,Phoenix,94
2003-12-09,Brooklyn,106,Phoenix,93
2003-12-11,Boston,94,Phoenix,103
2003-12-13,Philadelphia,91,Phoenix,99
2003-12-14,Atlanta,88,Phoenix,102
2003-12-16,Phoenix,87,Orlando,84
2003-12-17,Sacramento,95,Phoenix,86
2003-12-20,LA,76,Phoenix,87
2003-12-21,Phoenix,110,Sacramento,101
2003-12-23,Phoenix,89,Oklahoma City,88
2003-12-27,Phoenix,108,LA,95
2003-12-29,Cleveland,84,Phoenix,103
2003-12-30,Minnesota,104,Phoenix,98
2003-01-02,Phoenix,96,Philadelphia,78
2003-01-04,Phoenix,107,Los Angeles,93
2003-01-05,Los Angeles,109,Phoenix,97
2003-01-07,Portland,81,Phoenix,88
2003-01-08,Utah,99,Phoenix,93
2003-01-10,Phoenix,96,Memphis,90
2003-01-12,Phoenix,107,Utah,99
2003-01-14,San Antonio,108,Phoenix,100 OT
2003-01-15,Houston,102,Phoenix,96
2003-01-17,Phoenix,111,Dallas,106
2003-01-20,New Orleans,114,Phoenix,102
2003-01-22,Miami,92,Phoenix,85
2003-01-24,Orlando,107,Phoenix,110
2003-01-26,NY Knicks,106,Phoenix,98
2003-01-27,Washington,98,Phoenix,93
2003-01-29,Phoenix,90,Los Angeles,99
2003-01-31,LA,92,Phoenix,98
2003-02-01,Phoenix,116,Golden State,107
2003-02-03,Phoenix,115,Chicago,111 OT
2003-02-11,Phoenix,106,LA,107
2003-02-14,Phoenix,115,NY Knicks,116
2003-02-16,Phoenix,102,Boston,92
2003-02-19,Phoenix,89,Houston,107
2003-02-21,Toronto,92,Phoenix,89
2003-02-23,Minnesota,99,Phoenix,97
2003-02-24,Chicago,90,Phoenix,87
2003-02-26,Milwaukee,112,Phoenix,118
2003-03-01,Phoenix,92,New Orleans,97
2003-03-04,San Antonio,97,Phoenix,104
2003-03-05,Phoenix,98,Portland,92
2003-03-09,Phoenix,98,Minnesota,105
2003-03-11,Golden State,113,Phoenix,98
2003-03-13,Phoenix,109,Sacramento,84
2003-03-16,Houston,85,Phoenix,75
2003-03-17,Phoenix,95,Toronto,91 OT
2003-03-19,Phoenix,86,Utah,99
2003-03-21,Phoenix,109,Washington,83
2003-03-22,Dallas,102,Phoenix,95
2003-03-24,Phoenix,73,Oklahoma City,82
2003-03-26,Memphis,99,Phoenix,101
2003-03-28,Detroit,91,Phoenix,94
2003-03-30,Indiana,92,Phoenix,81
2003-04-01,Phoenix,95,Denver,65
2003-04-05,Phoenix,111,Minnesota,94
2003-04-06,Los Angeles,115,Phoenix,113 OT
2003-04-08,Denver,78,Phoenix,98
2003-04-09,Phoenix,112,Dallas,89
2003-04-11,Phoenix,117,Golden State,101
2003-04-13,Phoenix,92,San Antonio,85
2003-04-15,Portland,120,Phoenix,102
2003-04-16,Oklahoma City,84,Phoenix,70
2004-10-28,San Antonio,83,Phoenix,82
2004-10-30,Phoenix,95,Cleveland,86
