date,home_team,home_team_score,visit_team,visit_team_score
2005-11-04,Charlotte,96,Washington,103
2005-11-06,Charlotte,111,Orlando,100
2005-11-10,Milwaukee,102,Charlotte,100
2005-11-12,Boston,91,Charlotte,74
2005-11-13,Charlotte,87,Golden State,103
2005-11-16,Charlotte,105,Utah,107
2005-11-18,Charlotte,89,Cleveland,106
2005-11-20,Cleveland,100,Charlotte,84
2005-11-21,Detroit,117,Charlotte,116 2OT
2005-11-23,Charlotte,91,Detroit,89
2005-11-26,Indiana,82,Charlotte,77
2005-11-27,Charlotte,107,Atlanta,92
2005-11-30,Brooklyn,99,Charlotte,86
2005-12-04,Charlotte,107,NY Knicks,101
2005-12-06,LA,99,Charlotte,93 2OT
2005-12-07,Sacramento,109,Charlotte,92
2005-12-10,Phoenix,115,Charlotte,106
2005-12-12,Golden State,99,Charlotte,87
2005-12-14,Charlotte,94,New Orleans,93 OT
2005-12-18,Charlotte,101,Houston,100 OT
2005-12-21,Charlotte,91,Brooklyn,94
2005-12-22,Houston,87,Charlotte,90
2005-12-26,NY Knicks,91,Charlotte,82
2005-12-27,Washington,106,Charlotte,87
2005-12-29,Charlotte,71,Indiana,74
2005-12-31,Charlotte,97,Oklahoma City,103
2005-01-01,Miami,113,Charlotte,90
2005-01-03,Charlotte,83,Cleveland,94
2005-01-05,Charlotte,102,Minnesota,84
2005-01-07,Orlando,111,Charlotte,91
2005-01-11,Cleveland,100,Charlotte,98 OT
2005-01-14,Charlotte,89,Memphis,109
2005-01-15,Atlanta,103,Charlotte,95
2005-01-17,Charlotte,92,Milwaukee,99
2005-01-19,Charlotte,105,Philadelphia,107
2005-01-21,Charlotte,99,Dallas,105
2005-01-23,Toronto,103,Charlotte,92
2005-01-25,Charlotte,92,Boston,97
2005-01-27,Chicago,101,Charlotte,93
2005-01-28,Charlotte,101,Toronto,94
2005-01-30,Los Angeles,101,Charlotte,90
2005-02-01,Utah,105,Charlotte,109
2005-02-04,Portland,101,Charlotte,89
2005-02-05,Oklahoma City,113,Charlotte,99
2005-02-08,Charlotte,85,San Antonio,104
2005-02-09,Indiana,94,Charlotte,87
2005-02-11,Charlotte,87,Miami,97
2005-02-13,NY Knicks,102,Charlotte,99
2005-02-14,Charlotte,77,Portland,80
2005-02-16,Charlotte,94,Denver,88
2005-02-22,Charlotte,102,Milwaukee,112
2005-02-25,Brooklyn,93,Charlotte,86
2005-02-26,Charlotte,90,Chicago,94
2005-03-01,Charlotte,94,Sacramento,87
2005-03-02,New Orleans,94,Charlotte,85
2005-03-04,Boston,104,Charlotte,84
2005-03-05,Charlotte,84,Washington,86
2005-03-08,Minnesota,102,Charlotte,97
2005-03-11,Philadelphia,112,Charlotte,80
2005-03-12,Charlotte,116,Los Angeles,117
2005-03-14,Charlotte,110,Boston,119
2005-03-16,Denver,120,Charlotte,101
2005-03-18,San Antonio,93,Charlotte,76
2005-03-19,Dallas,104,Charlotte,93
2005-03-21,Charlotte,102,Orlando,97
2005-03-23,Charlotte,105,Phoenix,120
2005-03-24,Orlando,94,Charlotte,108
2005-03-26,Charlotte,94,Miami,92
2005-03-28,Charlotte,91,Brooklyn,95
2005-03-30,Charlotte,99,Chicago,102
2005-04-01,Charlotte,107,Toronto,119
2005-04-02,Chicago,112,Charlotte,97
2005-04-05,Charlotte,102,LA,104
2005-04-06,Philadelphia,106,Charlotte,103
2005-04-08,Milwaukee,93,Charlotte,75
2005-04-10,Memphis,102,Charlotte,95
2005-04-11,Atlanta,105 OT,Charlotte,110
2005-04-13,Charlotte,105,Atlanta,84
2005-04-16,Charlotte,98,NY Knicks,100
2005-04-17,Washington,106,Charlotte,104
2005-04-19,Miami,99,Charlotte,80
2005-04-20,Charlotte,97,Detroit,86
2006-11-02,Chicago,109,Charlotte,105 OT
2006-11-04,Philadelphia,93,Charlotte,110
2006-11-05,Charlotte,107,Boston,105 OT
2006-11-07,Charlotte,91 OT,Utah,95
2006-11-09,Charlotte,86,San Antonio,94
2006-11-11,Charlotte,88,Dallas,98
2006-11-12,Miami,108,Charlotte,99
2006-11-15,Orlando,85,Charlotte,77
2006-11-16,Charlotte,122,Indiana,90
2006-11-18,Indiana,93,Charlotte,85
2006-11-19,Minnesota,102,Charlotte,89
2006-11-23,Charlotte,108,NY Knicks,95
2006-11-25,Boston,90,Charlotte,89
2006-11-26,Charlotte,100,Washington,82
2006-11-29,Sacramento,110,Charlotte,92
2006-11-30,Oklahoma City,104,Charlotte,94
2006-12-02,Golden State,107,Charlotte,100
2006-12-04,Los Angeles,99,Charlotte,98
2006-12-07,Charlotte,84,Brooklyn,97
2006-12-09,Philadelphia,119,Charlotte,115
2006-12-10,Charlotte,103,Toronto,111
2006-12-13,Charlotte,85,Denver,101
2006-12-14,Brooklyn,83,Charlotte,91
2006-12-17,Charlotte,78,Detroit,103
2006-12-19,Charlotte,106,Sacramento,103 OT
2006-12-20,Chicago,92,Charlotte,105
2006-12-23,Charlotte,88,LA,97
2006-12-27,Atlanta,90,Charlotte,93
2006-12-28,Charlotte,93,Chicago,80
2006-12-30,Charlotte,100,Phoenix,110
2006-01-02,New Orleans,103,Charlotte,86
2006-01-04,Boston,109,Charlotte,106
2006-01-07,Orlando,108,Charlotte,92
2006-01-10,Charlotte,111,Houston,106 2OT
2006-01-11,Toronto,95,Charlotte,86
2006-01-13,Charlotte,102,Milwaukee,103
2006-01-14,Detroit,114,Charlotte,91
2006-01-16,Charlotte,92,New Orleans,107
2006-01-18,Indiana,98,Charlotte,92
2006-01-20,Charlotte,93,Orlando,104
