date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Indiana,91,Houston,82
2003-11-01,Brooklyn,102,Indiana,91
2003-11-02,Indiana,87,Minnesota,80
2003-11-05,Miami,79,Indiana,83
2003-11-08,Indiana,107,NY Knicks,94
2003-11-09,Indiana,108,Toronto,84
2003-11-12,Indiana,95,Cleveland,75
2003-11-15,Indiana,103,Milwaukee,100 OT
2003-11-16,Minnesota,101,Indiana,107
2003-11-20,Toronto,95,Indiana,97
2003-11-22,Indiana,106,Orlando,70
2003-11-23,Indiana,91,Detroit,106
2003-11-26,Washington,84,Indiana,88
2003-11-28,Indiana,110,Dallas,98
2003-11-29,Indiana,100,Washington,84
2003-12-01,LA,87,Indiana,92
2003-12-02,Utah,102,Indiana,91
2003-12-04,Oklahoma City,111 OT,Indiana,114
2003-12-06,Phoenix,102,Indiana,92
2003-12-07,Denver,92,Indiana,81
2003-12-11,Milwaukee,119 OT,Indiana,126
2003-12-13,Indiana,94,Denver,72
2003-12-15,Indiana,107,Philadelphia,97
2003-12-17,Dallas,118,Indiana,97
2003-12-18,Houston,95,Indiana,83
2003-12-20,Indiana,101,Chicago,86
2003-12-21,Chicago,110,Indiana,103
2003-12-23,Indiana,112,Atlanta,97
2003-12-27,Cleveland,89,Indiana,113
2003-12-28,Indiana,91,New Orleans,84
2003-12-31,New Orleans,86,Indiana,89
2003-01-03,NY Knicks,98,Indiana,96
2003-01-04,Washington,107,Indiana,104 2OT
2003-01-06,Philadelphia,104 OT,Indiana,105
2003-01-08,Indiana,89,NY Knicks,87
2003-01-10,Orlando,97 OT,Indiana,101
2003-01-11,Indiana,116,Golden State,104
2003-01-15,Indiana,104,Miami,81
2003-01-17,Boston,98,Indiana,93
2003-01-18,Indiana,88,Detroit,86
2003-01-20,Detroit,88,Indiana,78
2003-01-22,Indiana,101,Toronto,98
2003-01-24,Indiana,93,Oklahoma City,80
2003-01-26,Indiana,108,LA,101
2003-01-27,Miami,95,Indiana,102
2003-01-29,Indiana,97,San Antonio,106
2003-01-31,Toronto,102,Indiana,90
2003-02-01,Indiana,109,Boston,100
2003-02-04,Indiana,94,Los Angeles,97
2003-02-11,Indiana,107,Cleveland,96
2003-02-12,New Orleans,72,Indiana,83
2003-02-14,Indiana,98,Atlanta,97 OT
2003-02-16,Atlanta,99,Indiana,86
2003-02-18,Memphis,108,Indiana,103 OT
2003-02-20,Brooklyn,98,Indiana,91
2003-02-22,San Antonio,105,Indiana,96
2003-02-25,Indiana,78,Washington,83
2003-02-26,Boston,71,Indiana,69
2003-02-28,Indiana,107,Milwaukee,98
2003-03-04,Golden State,107,Indiana,100
2003-03-05,Los Angeles,97,Indiana,95
2003-03-08,Portland,94,Indiana,80
2003-03-09,Sacramento,107,Indiana,88
2003-03-11,Indiana,71,New Orleans,81
2003-03-12,Philadelphia,96,Indiana,93
2003-03-14,Indiana,101,Utah,81
2003-03-17,Indiana,88,Portland,95
2003-03-19,Indiana,102,Boston,72
2003-03-21,Indiana,101,Memphis,92
2003-03-22,Atlanta,92,Indiana,89
2003-03-26,Indiana,85,Philadelphia,91
2003-03-28,Indiana,140,Chicago,89
2003-03-30,Indiana,92,Phoenix,81
2003-04-01,Indiana,98,Sacramento,103
2003-04-02,Cleveland,82,Indiana,103
2003-04-04,Detroit,92,Indiana,98
2003-04-06,Indiana,90,Miami,69
2003-04-08,Chicago,115,Indiana,103
2003-04-11,Indiana,86,Orlando,98
2003-04-13,Milwaukee,107,Indiana,98
2003-04-15,NY Knicks,93,Indiana,109
2003-04-16,Indiana,90,Brooklyn,83
