date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Miami,86,Orlando,100
2003-11-02,New Orleans,100,Miami,95
2003-11-03,Miami,88,Sacramento,78
2003-11-05,Miami,79,Indiana,83
2003-11-09,Miami,82,Oklahoma City,84
2003-11-12,Miami,82,LA,101
2003-11-15,Miami,84,Brooklyn,93
2003-11-16,Washington,95,Miami,65
2003-11-19,Milwaukee,93,Miami,97
2003-11-20,Detroit,79,Miami,68
2003-11-22,Miami,72,Detroit,75
2003-11-24,Orlando,77,Miami,75
2003-11-26,Miami,97,Los Angeles,85
2003-11-27,Philadelphia,83,Miami,74
2003-11-29,Atlanta,100,Miami,94 OT
2003-11-30,Miami,85,Cleveland,79
2003-12-02,Phoenix,90 OT,Miami,100
2003-12-04,LA,89,Miami,80
2003-12-06,Portland,88,Miami,69
2003-12-07,Oklahoma City,100,Miami,71
2003-12-10,Miami,96,Memphis,107
2003-12-13,Miami,92,NY Knicks,97
2003-12-14,Miami,101,Golden State,92
2003-12-16,Miami,100 OT,Houston,105
2003-12-18,Boston,81,Miami,91
2003-12-20,Toronto,77,Miami,97
2003-12-22,NY Knicks,84,Miami,92
2003-12-23,Cleveland,74,Miami,72
2003-12-27,Miami,90,Boston,70
2003-12-30,Miami,93,Atlanta,84
2003-01-01,Atlanta,73,Miami,107
2003-01-03,Miami,80,Brooklyn,100
2003-01-05,Sacramento,96,Miami,70
2003-01-06,Golden State,99,Miami,85
2003-01-08,Denver,86,Miami,76
2003-01-10,Utah,92,Miami,76
2003-01-12,Los Angeles,106,Miami,81
2003-01-14,Miami,88,Detroit,85
2003-01-15,Indiana,104,Miami,81
2003-01-18,Miami,102,Chicago,101 2OT
2003-01-20,NY Knicks,72,Miami,65
2003-01-22,Miami,92,Phoenix,85
2003-01-25,Miami,91,Philadelphia,97
2003-01-27,Miami,95,Indiana,102
2003-01-29,Miami,82,NY Knicks,80
2003-01-31,Philadelphia,104,Miami,99
2003-02-01,Miami,65,San Antonio,67
2003-02-03,Miami,99,Atlanta,79
2003-02-05,Miami,87,Portland,101
2003-02-11,Miami,69,New Orleans,78
2003-02-14,Houston,82,Miami,94
2003-02-15,Dallas,98,Miami,92
2003-02-17,Detroit,93,Miami,62
2003-02-18,Brooklyn,84,Miami,79
2003-02-22,Miami,100,Chicago,90
2003-02-25,San Antonio,84,Miami,69
2003-02-26,New Orleans,91,Miami,82
2003-02-28,Memphis,126,Miami,116 OT
2003-03-02,Miami,93,Washington,83
2003-03-04,Miami,91,Milwaukee,100
2003-03-07,Miami,89,Dallas,91
2003-03-08,Miami,92,Denver,98
2003-03-10,Miami,73,Utah,83
2003-03-11,Cleveland,75,Miami,77
2003-03-14,Miami,83,New Orleans,87
2003-03-15,Washington,89,Miami,82
2003-03-18,Miami,83,Philadelphia,103
2003-03-19,Orlando,109,Miami,93
2003-03-21,Miami,107,Toronto,98
2003-03-23,Miami,74,Orlando,96
2003-03-25,Minnesota,108,Miami,91
2003-03-26,Chicago,82,Miami,74
2003-03-28,Miami,111,Minnesota,84
2003-03-30,Milwaukee,109,Miami,87
2003-03-31,Miami,86,Milwaukee,91
2003-04-02,Boston,90,Miami,62
2003-04-04,Brooklyn,99,Miami,83
2003-04-06,Indiana,90,Miami,69
2003-04-08,Miami,89,Toronto,83
2003-04-11,Miami,87,Washington,91
2003-04-13,Miami,86,Boston,94
2003-04-15,Toronto,99,Miami,103
