date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Detroit,86,New,77
2003-11-01,Philadelphia,98,New,86
2003-11-02,New,107,Boston,117
2003-11-04,New,88,Milwaukee,97
2003-11-06,New,95,Sacramento,88
2003-11-08,Indiana,107,New,94
2003-11-10,New,91 OT,New Orleans,97
2003-11-12,New,87,Utah,108
2003-11-16,New,92,Philadelphia,93
2003-11-18,New,94,Detroit,91
2003-11-22,New Orleans,105,New,97 OT
2003-11-24,New,88,Minnesota,106
2003-11-27,Toronto,81,New,87
2003-11-30,New,92,New Orleans,86 OT
2003-12-02,New,125,Cleveland,93
2003-12-04,New,85,Orlando,87
2003-12-06,Boston,91,New,80
2003-12-07,Washington,100,New,97
2003-12-10,New,97,Oklahoma City,80
2003-12-13,Miami,92,New,97
2003-12-14,New,90,Boston,113
2003-12-17,New,101,Brooklyn,99
2003-12-21,Milwaukee,94,New,90
2003-12-22,New,84,Miami,92
2003-12-27,Houston,83,New,99
2003-12-28,Dallas,107,New,82
2003-12-30,New,96,San Antonio,95
2003-01-01,New,95,Toronto,75
2003-01-03,New,98,Indiana,96
2003-01-05,New,89,Portland,92
2003-01-06,Orlando,103,New,100
2003-01-08,Indiana,89,New,87
2003-01-10,Philadelphia,112,New,114
2003-01-11,New,84,Washington,89
2003-01-13,Chicago,101,New,94
2003-01-14,New,98,Chicago,86
2003-01-17,Detroit,99,New,82
2003-01-18,Atlanta,92,New,95
2003-01-20,New,72,Miami,65
2003-01-22,New,97,Denver,88
2003-01-24,New,90,Dallas,101
2003-01-26,New,106,Phoenix,98
2003-01-28,New,103,Atlanta,98
2003-01-29,Miami,82,New,80
2003-01-31,Memphis,102,New,108
2003-02-01,Milwaukee,107,New,100
2003-02-04,New,105,LA,92
2003-02-06,New,109,Los Angeles,114
2003-02-12,New,107,Golden State,113
2003-02-14,Phoenix,115,New,116
2003-02-16,Los Angeles,110,New,117
2003-02-17,Portland,99,New,91
2003-02-19,Oklahoma City,103,New,94
2003-02-21,Golden State,111,New,107
2003-02-23,Sacramento,99,New,92
2003-02-25,New,102,Houston,95
2003-02-26,Brooklyn,105,New,76
2003-02-28,New,118,Orlando,110 2OT
2003-03-02,Minnesota,99,New,90
2003-03-04,New,89,Cleveland,80
2003-03-05,Boston,97,New,95
2003-03-07,Orlando,102,New,111
2003-03-09,New,97,Washington,96
2003-03-11,New,85,Memphis,87
2003-03-14,Atlanta,107,New,104
2003-03-16,New,120,Milwaukee,111
2003-03-18,San Antonio,97,New,105
