date,home_team,home_team_score,visit_team,visit_team_score
2003-10-30,Portland,102,Los Angeles,90
2003-10-31,Sacramento,100,Portland,72
2003-11-02,Portland,79,Denver,96
2003-11-03,Los Angeles,98,Portland,95 OT
2003-11-06,Portland,94,Memphis,88
2003-11-08,Phoenix,86,Portland,75
2003-11-09,San Antonio,76,Portland,95
2003-11-11,Dallas,82,Portland,73
2003-11-12,Houston,86,Portland,83
2003-11-15,Portland,112,LA,88
2003-11-20,Portland,98,Orlando,84
2003-11-21,Oklahoma City,85,Portland,89
2003-11-23,Portland,94,Sacramento,95
2003-11-26,Portland,77,Houston,71
2003-11-30,Portland,86,Brooklyn,93
2003-12-04,Portland,88,Dallas,103
2003-12-06,Portland,88,Miami,69
2003-12-08,Toronto,91,Portland,104
2003-12-10,Washington,79,Portland,98
2003-12-11,Brooklyn,105,Portland,104
2003-12-13,Milwaukee,101,Portland,79
2003-12-14,Minnesota,92 OT,Portland,98
2003-12-17,Portland,102,New Orleans,93
2003-12-18,LA,93,Portland,97
2003-12-20,Golden State,111,Portland,113
2003-12-21,Portland,81,Oklahoma City,80
2003-12-27,Portland,103,Utah,98
2003-12-28,Sacramento,113 OT,Portland,119
2003-12-30,Detroit,74,Portland,85
2003-12-31,Chicago,102,Portland,87
2003-01-03,Boston,103,Portland,108
2003-01-05,NY Knicks,89,Portland,92
2003-01-07,Portland,81,Phoenix,88
2003-01-09,Portland,90,San Antonio,87
2003-01-10,Denver,82,Portland,81
2003-01-13,Portland,118,Cleveland,94
2003-01-15,Portland,100,Memphis,92
2003-01-18,Portland,98,Minnesota,104
2003-01-20,Memphis,87,Portland,99
2003-01-22,Atlanta,110 2OT,Portland,112
2003-01-24,New Orleans,96 OT,Portland,97
2003-01-26,Dallas,93,Portland,100
2003-01-28,Portland,98,Denver,92
2003-01-29,Utah,95,Portland,71
2003-01-31,Portland,107,Chicago,94
2003-02-02,Cleveland,95,Portland,114
2003-02-04,Orlando,89,Portland,96
2003-02-05,Miami,87,Portland,101
2003-02-11,Portland,111 OT,San Antonio,116
2003-02-13,Portland,92,Boston,100
2003-02-15,Portland,101,Oklahoma City,96
2003-02-17,Portland,99,NY Knicks,91
2003-02-19,Portland,125,Golden State,98
